x = 8 y = 12
x = 8 y = 13
x = 9 y = 12
x = 9 y = 13
x = 11 y = 12
x = 11 y = 13
x = 11 y = 14
x = 11 y = 15
x = 12 y = 11
x = 12 y = 16
x = 12 y = 18
x = 12 y = 19
x = 13 y = 11
x = 13 y = 15
x = 13 y = 16
x = 13 y = 18
x = 13 y = 19
x = 14 y = 8
x = 14 y = 9
x = 14 y = 11
x = 14 y = 13
x = 14 y = 16
x = 15 y = 8
x = 15 y = 9
x = 15 y = 11
x = 15 y = 14
x = 15 y = 16
x = 16 y = 12
x = 16 y = 13
x = 16 y = 14
x = 16 y = 15
x = 18 y = 14
x = 18 y = 15
x = 19 y = 3
x = 19 y = 14
x = 19 y = 15
x = 20 y = 3
x = 21 y = 3
x = 25 y = 19
x = 26 y = 18
x = 26 y = 19
x = 27 y = 18
x = 27 y = 19
x = 28 y = 18
x = 31 y = 6
x = 31 y = 7
x = 32 y = 6
x = 32 y = 7
x = 33 y = 4
x = 33 y = 5
x = 34 y = 4
x = 34 y = 5
x = 36 y = 16
x = 38 y = 14
x = 38 y = 15
x = 38 y = 16
x = 38 y = 18
x = 39 y = 13
x = 39 y = 15
x = 39 y = 16
x = 40 y = 13
x = 40 y = 14
x = 40 y = 16
x = 41 y = 5
x = 41 y = 11
x = 41 y = 13
x = 41 y = 14
x = 41 y = 15
x = 42 y = 5
x = 42 y = 7
x = 43 y = 4
x = 43 y = 6
x = 43 y = 13
x = 44 y = 6
